name,code,hex,family,temperature,tonality
air breeze,9436,#F3EDE8,off whites,cool,light
button rose,8108,#F2E4DF,off whites,cool,light
soft breeze,8116,#F7EAE5,off whites,cool,light
zinnia bloom,8716,#EFE3DF,off whites,cool,light
essence,8099,#F7E2E2,pinks,cool,light
pink mist,8092,#F7E2E0,pinks,cool,light
angel harp,8124,#F5E2E2,pinks,cool,light
lucid dream,5182,#E7D3D3,pinks,cool,light
winged angel,8100,#F7EDE9,off whites,cool,light
touch of fuschia,8140,#F6EDE9,off whites,cool,light
day lily,8060,#F7EBE5,off whites,cool,light
tinge of rose,8084,#F5E6E1,off whites,cool,light
soft chenille,8036,#F9E9DE,off whites,cool,light
zen,8676,#F4E6DD,off whites,warm,light
white clay,8620,#F3E3D7,off whites,warm,light
milkshake,8012,#F9E4D1,oranges,warm,light
lilac frost,7148,#ECE7E4,off whites,cool,light
twilight sky,8204,#EFE8E3,off whites,cool,light
daisy bloom,L178,#EFEAE6,off whites,warm,light
willow creek,8068,#F7EBE4,off whites,cool,light
gossamer,8052,#F7EBE2,off whites,cool,light
blush,L139,#F7EBE0,off whites,cool,light
summer blush-n,0945,#EADED5,off whites,warm,light
fresh fuel,9516,#E7DECF,off whites,warm,light
white butter,L164,#EAE7E1,off whites,warm,light
white cameo,L145,#F7F0E6,off whites,warm,light
crushed ice,L140,#F3ECDE,off whites,warm,light
snow blush,L138,#F4E9DA,off whites,warm,light
harmony,L147,#F3EADB,off whites,warm,light
macadamia,5184,#F0E5D6,off whites,warm,light
desert ivory,8020,#F5E8D9,off whites,warm,light
coral shell,0951,#F7E4CB,off whites,warm,light
virgin lace,L107,#EEE9E2,off whites,warm,light
cobbled path,8636,#F7ECE1,off whites,warm,light
rose blush,5232,#EBE3D9,off whites,warm,light
mica matte,L142,#F2EAE1,off whites,warm,light
peach organza,8028,#F6ECDF,off whites,warm,light
natural linen,L132,#F0E7D4,off whites,warm,light
sesame seed,L127,#EEE3CF,off whites,warm,light
lovely lace,L131,#EEE1CB,off whites,warm,light
crescent,7948,#F7F0DD,off whites,warm,light
thick cream,7860,#F4EED9,off whites,warm,light
cream,0307,#F1E3C8,off whites,warm,light
puppy love,3203,#ECDEC6,browns,warm,light
buttercream-n,L188,#E7DCC3,browns,warm,light
light butter-n,L189,#E7D5B9,browns,warm,light
dawn dew-n,L190,#E4D6C0,browns,warm,light
cold coffee,L129,#E6D6BE,browns,warm,light
mellow orange,8004,#F7F0E3,off whites,warm,light
cream tone,7996,#F7EEDF,off whites,warm,light
south pole,L141,#F3E9DD,off whites,warm,light
raw jute,L151,#F4ECDE,off whites,warm,light
soft glow,0952,#E9DFD2,off whites,warm,light
white fog,L173,#E7E1D6,off whites,warm,light
silver spree,8460,#E5DDD0,off whites,warm,light
sahara dream,L135,#E6DCCA,off whites,warm,light
pressed linen,L150,#F6F0E3,off whites,warm,light
sugared nut,L126,#F8F1DF,off whites,warm,light
powder puff,7972,#F6F0E1,off whites,warm,light
sombre moon,7988,#F9EEDD,off whites,warm,light
soft silk,L160,#ECE5D8,off whites,warm,light
arabian sand,L133,#F1E7D4,off whites,warm,light
pebble white,L136,#F1E8D8,off whites,warm,light
shepherd trail,8764,#E6DED3,off whites,warm,light
sonnet,L146,#F7F1E7,off whites,warm,light
blossom tint,L148,#F4EEE0,off whites,warm,light
pale pearl,7940,#F2ECDE,off whites,warm,light
pure ivory,L124,#F3EEDD,off whites,warm,light
solitaire,8500,#EEE7DA,off whites,warm,light
double cream,L134,#F0EADA,off whites,warm,light
white canvas,L157,#EDE7DB,off whites,warm,light
silence,L158,#EDE7DC,off whites,warm,light
rain drop,L143,#F5F0E7,off whites,warm,light
chalk powder,L183,#F0E9E0,off whites,warm,light
pearl star,L103,#F3EDE0,off whites,warm,light
almost ivory,L156,#F3EDE0,off whites,warm,light
milky way,L102,#F4EDDF,off whites,warm,light
retro white,L179,#EFE8DD,off whites,warm,light
whitener,8476,#E9E3D9,off whites,warm,light
enlighten-n,4148,#E0D8CB,browns,warm,light
silver comet,L125,#F6F0DE,off whites,warm,light
angel cloud,L123,#F3EEDF,off whites,warm,light
cotton wool,L104,#F2EEE3,off whites,warm,light
swan wing,L101,#F5EFE1,off whites,warm,light
eggshell,L149,#F0EADC,off whites,warm,light
vanilla mist,L174,#F0E9DA,off whites,warm,light
white delight,8436,#E9E4D9,off whites,warm,light
dreamy night,L159,#E6E0D3,off whites,warm,light
love song,L144,#F4F0E5,off whites,warm,light
sea shine,L170,#F2EEE2,off whites,warm,light
blank canvas,7932,#F7F2E3,off whites,warm,light
ice crystal,8444,#EFEADF,off whites,warm,light
crystal peak,L105,#F2EEE3,off whites,warm,light
skimmed cream,L122,#F3EFE1,off whites,warm,light
soft snow,L175,#EFE8DA,off whites,warm,light
natural cream,8483,#E9E2D3,off whites,warm,light
cream pie,L152,#F6F3E8,off whites,warm,light
pale sisal,L155,#F5F2E6,off whites,warm,light
morning glory,0765,#F1ECE2,off whites,warm,light
pristine linen,L153,#F0ECDE,off whites,warm,light
soft glance,8484,#EEEADE,off whites,warm,light
glacier ridge,8428,#E9E5DA,off whites,warm,light
icy peak,L109,#E7E5DA,off whites,warm,light
confetti,8300,#E2DED6,greys,warm,light
pipe dream,L154,#F6F3E7,off whites,warm,light
moonlight,L121,#F3EFDC,off whites,warm,light
vanilla ice,7836,#F3EEDA,off whites,warm,light
firefly flicker,7916,#F6F2DF,off whites,warm,light
white bush,L176,#EEECE1,off whites,warm,light
avalanche,8412,#ECEADC,off whites,warm,light
white gold,8292,#E3E3DC,greys,warm,light
snowflake,8332,#D9D8CF,greys,warm,light
absolute white,L161,#F3F2EC,off whites,warm,light
indian cotton,L165,#F1EDE4,off whites,warm,light
pure cotton,L172,#F1EEE0,off whites,warm,light
white cheese,L177,#EEEADD,off whites,warm,light
spirit wind,8372,#E8E8DE,off whites,warm,light
cosmic dust,8348,#E7E7DE,off whites,warm,light
jade isle,8404,#E4E3D6,off whites,warm,light
virgin mountain,8396,#DCDED1,greens,warm,light
shy iris,7220,#EEECE7,off whites,cool,light
camphor,8260,#EDEBE3,off whites,warm,light
water spray,L118,#EDEFE3,yellows,warm,light
mint lustre,L120,#EEEEDF,yellows,warm,light
misty meadow,7668,#EFEFDE,yellows,warm,light
green republic,7676,#E9EEDB,greens,warm,light
winter nip,7660,#E8EEDB,greens,warm,light
repose,7684,#E8ECD9,greens,warm,light
sour cream,L166,#F0EFE9,off whites,warm,light
white silk,L171,#ECECE4,off whites,warm,light
spotless,L169,#EEEEE8,off whites,warm,light
cream pudding,L108,#EAEBE4,off whites,warm,light
night jasmine,L185,#EBEDE2,yellows,warm,light
tranquil green,8388,#E6E7D9,greens,warm,light
mint essence,L117,#E8EEE1,greens,warm,light
ocean spray,0947,#E3EADC,greens,warm,light
salt white,L163,#F0EFEA,off whites,warm,light
white satin,L119,#EDEFE2,greens,warm,light
iceland,0763,#EBEDE4,greens,warm,light
white echo,L112,#EBEEE4,greens,warm,light
menthol,L116,#E7EFE2,greens,warm,light
alpine,1205,#E0E7E0,greens,cool,light
first frost,8316,#DADBD4,greys,warm,light
